Licence plate,VIN,Make,Model,Type,Capacity,Autonomie,End of Contract,Country,Category,Activated
XZ752T,W0VF86E09K4112523,Opel,Ampera-e,150kW Business+ 5d,,,29-04-2023,NL,EV,Not Found
XN145N,WBY8P210807D37274,BMW,i3,i3 (120Ah) 5d,,,18-02-2023,NL,EV,Found
H770RH,W1K2938901F005682,Mercedes-Benz,EQC,EQC 400 4MATIC 5d,,404,20-10-2024,NL,EV,Found
TL219G,W0VF86E00J4137616,Opel,Ampera-e,150kW Business+ 5d,,,30-08-2023,NL,EV,Not Found
K-121-FK,W1K2938901F016713,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution AMG,,401,12/8/2024,NL,EV,Found
TG623S,W0VF86E04J4122990,Opel,Ampera-e,150kW Business+ 5d,,,30-08-2023,NL,EV,Not Found
PV553T,WBY1Z610407A12415,BMW,i3,Automaat (94Ah) 5d,,,06-10-2023,NL,EV,Found
G023ZG,WBY8P210407F12586,BMW,i3,i3 (120Ah) 5d,,,03-01-2024,NL,EV,Found
XN100K,WBY8P210207D36668,BMW,i3,i3 (120Ah) 5d,,,22-02-2024,NL,EV,Found
ZB151X,WBY8P210007D85478,BMW,i3,i3 (120Ah) 5d,,,29-04-2024,NL,EV,Found
ZJ910S,WBY8P210607E16295,BMW,i3,i3 (120Ah) 5d,,,14-06-2024,NL,EV,Found
H-808-ZK,WBY8P210607G05514,BMW,i3,i3 Corporate Executive (120Ah),,,6/26/2024,NL,EV,Found
ZP548T,WBY8P210807E40257,BMW,i3,i3 (120Ah) 5d,,,10-07-2024,NL,EV,Found
ZP397P,WBY8P210307E39145,BMW,i3,i3 (120Ah) 5d,,,12-07-2024,NL,EV,Found
H562BK,WBY8P210907F36236,BMW,i3,i3 (120Ah) 5d,,,25-07-2024,NL,EV,Found
ZN233V,WBY8P210107E37328,BMW,i3,i3 (120Ah) 5d,,,03-08-2024,NL,EV,Found
XV921N,WBY8P210007D68096,BMW,i3,i3 (120Ah) 5d,,,05-08-2024,NL,EV,Found
XL715R,WBY8P610X07D31659,BMW,i3,i3s (120Ah) 5d,,,08-08-2024,NL,EV,Found
G-518-BB,WBY8P210607E60894,BMW,i3,i3 170pk (120 Ah) Aut i3 Executive Edition,,,8/26/2024,NL,EV,Found
PT360B,VF77JZKYZHJ783827,Citroën,Berlingo,E-Berlingo Shine 5d,,,18-10-2023,NL,EV,Not Found
G795BV,WBY8P210907E68326,BMW,i3,i3 (120Ah) 5d,,,30-08-2024,NL,EV,Found
TZ013B,W0VF86E05K4100353,Opel,Ampera-e,150kW Business+ 5d,,,15-11-2023,NL,EV,Not Found
G854DB,WBY8P210507E13100,BMW,i3,i3 (120Ah) Executive Edition 5d,,,02-09-2024,NL,EV,Found
TZ013B,W0VF86E05K4100353,Opel,Ampera-e,150kW Business+ 5d,,,15-11-2023,NL,EV,Not Found
G-796-BV,WBY8P210607E77100,BMW,i3,i3 170pk (120 Ah) Aut i3,,,9/4/2024,NL,EV,Found
G812DV,WBY8P210X07E68318,BMW,i3,i3 (120Ah) 5d,,,11-09-2024,NL,EV,Found
G-154-FD,WBY8P210707E59222,BMW,i3,i3 170pk (120 Ah) Aut i3 Executive Edition,,,9/16/2024,NL,EV,Found
K-783-BD,W1K2938901F016840,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution Luxury,,406,11/20/2024,NL,EV,Found
G-195-GF,WBY8P610807E84315,BMW,i3,i3s (120Ah),,,9/18/2024,NL,EV,Found
VKX36V,VXEV1ZKXZMZ025966,Opel,Vivaro-e,75 kWh L2H1 Edition 4d,75,,01-12-2023,NL,EV,Not Found
K578HK,VR3UKZKXZLJ926084,Peugeot,e-2008,GT EV 50kWh 136 5d ActieAuto,50,,30-12-2023,NL,OLD,Found
G-152-FL,WBY8P210607E87948,BMW,i3,i3 (120Ah),,,9/19/2024,NL,EV,Found
XL371X,W0VF86E04K4115555,Opel,Ampera-e,150kW Business+ 5d,,,06-02-2024,NL,EV,Not Found
XL370X,W0VF86E0XK4106200,Opel,Ampera-e,150kW Business+ 5d,,,06-02-2024,NL,EV,Not Found
G356GJ,WBY8P210907E83408,BMW,i3,i3 (120Ah) 5d,,,20-09-2024,NL,EV,Found
G360GJ,WBY8P210507E90842,BMW,i3,i3 (120Ah) Executive Edition 5d,,,21-09-2024,NL,EV,Found
G359GJ,WBY8P210707E81513,BMW,i3,i3 (120Ah) 5d,,,23-09-2024,NL,EV,Found
x,WBY71AW000FM68170,BMW,i4,x,,,30.09.2024 00:00:00,Germany,EV,Not Found
G-547-HB,WBY8P610107E85998,BMW,i3,i3S 120Ah 42kWh Aut,42,,10/2/2024,NL,EV,Found
G-548-HB,WBY8P610307E86019,BMW,i3,i3S 120Ah 42kWh Aut,42,,10/2/2024,NL,EV,Found
G546HB,WBY8P210107E83404,BMW,i3,i3 (120Ah) Executive Edition 5d,,,04-10-2024,NL,EV,Found
J-705-SK,WBY8P210907G80403,BMW,i3,i3 Corporate Executive (120Ah),,,10/8/2024,NL,EV,Found
XR525L,W0VF86E01K4118364,Opel,Ampera-e,150kW Business+ 5d,,,01-03-2024,NL,EV,Not Found
G168KL,WBY8P210107F07264,BMW,i3,i3 (120Ah) Executive Edition 5d,,,19-10-2024,NL,EV,Found
TR-083-F,WBY7Z210907B34898,BMW,i3,i3 94Ah 33kWh Aut,33,,10/30/2024,NL,EV,Found
XZ926G,W0VF86E07K4119163,Opel,Ampera-e,150kW Business Executive 5d,,,12-04-2024,NL,EV,Not Found
R-395-NX,WBY8P210107K48420,BMW,i3,i3 (120Ah),,,10/31/2024,NL,EV,Found
G-067-LN,WBY8P210207E56518,BMW,i3,i3 170pk (120 Ah) Aut i3,,,11/4/2024,NL,EV,Found
G061NN,WBY8P610307F11520,BMW,i3,i3s (120Ah) 5d,,,05-11-2024,NL,EV,Found
G253PP,WBY8P210107E62729,BMW,i3,i3 (120Ah) 5d,,,08-11-2024,NL,EV,Found
XZ924G,W0VF86E05K4119162,Opel,Ampera-e,150kW Business+ 5d,,,12-04-2024,NL,EV,Not Found
K742ZR,VR1J45GBUMY502166,DS,DS 7 Crossback,E-TENSE 4x4 Perform. Line auto 5d,,,30-04-2024,NL,EV,Found
ZD118G,W0VF86E06K4123253,Opel,Ampera-e,150kW Business Executive 5d,,,01-05-2024,NL,EV,Not Found
ZF762L,W0VF86E09K4128155,Opel,Ampera-e,150kW Business+ 5d,,,10-05-2024,NL,EV,Not Found
ZF800F,W0VF86E09K4126972,Opel,Ampera-e,150kW Business+ 5d,,,13-05-2024,NL,EV,Not Found
ZD117G,W0VF86E03K4123257,Opel,Ampera-e,150kW Business+ 5d,,,17-05-2024,NL,EV,Not Found
ZG314G,W0VF86E07K4113377,Opel,Ampera-e,150kW ActieAuto+ 5d Business+,,,24-05-2024,NL,EV,Not Found
G844PK,WBY8P210507F21376,BMW,i3,i3 (120Ah) 5d,,,09-11-2024,NL,EV,Found
K807GK,VR3UKZKXZLJ934632,Peugeot,2008,GT EV 50kWh 136 5d,50,,16-06-2024,NL,EV,Found
J931NJ,VR3UHZKXZLT088238,PEUGEOT,208,GT EV 50kWh 136 5d,50,,19-06-2024,NL,EV,Found
P120XD,VXKUHZKXZN4269149,Opel,Corsa-e,50kWh GS Line 11kW 3 fase 5d APL,50,,24-06-2024,NL,EV,Found
J972PG,VR1UJZKXZLW021491,DS,DS 3 Crossback,E-TENSE 50 kWh Performance Line+ Auto 5d,50,,01-07-2024,NL,EV,Found
J059LD,VXKUHZKXZL4320106,Opel,Corsa-e,100kW Edition 5d,,,01-07-2024,NL,EV,Not Found
J198JZ,VR3UHZKXZLT072875,PEUGEOT,208,GT EV 50kWh 136 5d,50,,01-07-2024,NL,EV,Not Found
G-643-RH,WBY8P210707D68113,BMW,i3,i3 (120Ah),,,11/14/2024,NL,EV,Found
K324PP,VXKUHZKXZM4023375,Opel,Corsa-e,50kWh Edition 11kW 3 fase 5d,50,,03-07-2024,NL,EV,Found
x,WF0TK3SU4MMA37317,FORD,Mustang Mach-E,x,,,21.12.2024 00:00:00,Germany,EV,Not Found
x,WF0TK1E79MMA47996,FORD,Mustang Mach-E,x,,,21.12.2024 00:00:00,Germany,EV,Not Found
x,WF0TK1E74MMA60901,FORD,Mustang Mach-E,x,,,21.12.2024 00:00:00,Germany,EV,Not Found
x,WF0TK3SSXMMA51687,FORD,Mustang Mach-E,x,,,21.12.2024 00:00:00,Germany,EV,Not Found
x,WF0TK3SS9MMA50420,FORD,Mustang Mach-E,x,,,21.12.2024 00:00:00,Germany,EV,Not Found
x,WF0TK1E73MMA53339,FORD,Mustang Mach-E,x,,,22.12.2024 00:00:00,Germany,EV,Not Found
