correct_make_en,correct_energy_type_en,correct_model_en,correct_year_manuf,label,LocTime_utc,LocTime_epoch
geely,EV,geometry c,2022,Electric Data - Vehicle Range Of Battery - 2229,2024-06-15 06:52:41,1718434360532
geely,EV,geometry c,2022,Electric Data - Charging Voltage - 7C,2024-06-15 06:52:41,1718434360532
geely,EV,geometry c,2022,Electric Data - Charging Current - 232,2024-06-15 06:52:41,1718434360532
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 06:52:41,1718434360532
geely,EV,geometry c,2022,Electric Data - Charging AC Mode - 2227,2024-06-15 06:52:41,1718434360532
geely,EV,geometry c,2022,Electric Data - Time Remaining for Charge - 2291,2024-06-15 06:52:41,1718434360532
geely,EV,geometry c,2022,Electric Data - Charging Voltage - 7C,2024-06-15 06:51:40,1718434300277
geely,EV,geometry c,2022,Electric Data - Time Remaining for Charge - 2291,2024-06-15 06:51:40,1718434300277
geely,EV,geometry c,2022,Electric Data - Charging AC Mode - 2227,2024-06-15 06:51:40,1718434300277
geely,EV,geometry c,2022,Electric Data - Charging Current - 232,2024-06-15 06:51:40,1718434300277
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 06:51:40,1718434300277
geely,EV,geometry c,2022,Electric Data - Battery Status Of Charge - 2334,2024-06-15 06:51:40,1718434300277
geely,EV,geometry c,2022,Electric Data - Vehicle Range Of Battery - 2229,2024-06-15 06:51:40,1718434300277
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 06:51:40,1718434300277
geely,EV,geometry c,2022,Electric Data - Charging DC Mode - 9629,2024-06-15 06:51:40,1718434300277
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 06:51:31,1718434291380
geely,EV,geometry c,2022,Electric Data - Battery Status Of Charge - 2334,2024-06-15 06:51:31,1718434291380
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 06:51:22,1718434282000
geely,EV,geometry c,2022,Electric Data - Battery Status Of Charge - 2334,2024-06-15 06:51:22,1718434282000
geely,EV,geometry c,2022,Electric Data - Battery Status Of Charge - 2334,2024-06-15 06:51:11,1718434270778
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 06:51:11,1718434270778
geely,EV,geometry c,2022,Electric Data - Charging AC Mode - 2227,2024-06-15 06:51:10,1718434269693
geely,EV,geometry c,2022,Electric Data - Charging Voltage - 7C,2024-06-15 06:51:10,1718434269693
geely,EV,geometry c,2022,Electric Data - Vehicle Range Of Battery - 2229,2024-06-15 06:51:10,1718434269693
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 06:51:10,1718434269693
geely,EV,geometry c,2022,Electric Data - Charging DC Mode - 9629,2024-06-15 06:51:10,1718434269693
geely,EV,geometry c,2022,Electric Data - Charging Current - 232,2024-06-15 06:51:10,1718434269693
geely,EV,geometry c,2022,Electric Data - Time Remaining for Charge - 2291,2024-06-15 06:51:10,1718434269693
geely,EV,geometry c,2022,Electric Data - Charging AC Mode - 2227,2024-06-15 06:50:11,1718434210792
geely,EV,geometry c,2022,Electric Data - Charging Voltage - 7C,2024-06-15 06:50:11,1718434210792
geely,EV,geometry c,2022,Electric Data - Vehicle Range Of Battery - 2229,2024-06-15 06:50:11,1718434210792
geely,EV,geometry c,2022,Electric Data - Battery Status Of Charge - 2334,2024-06-15 06:50:11,1718434210792
geely,EV,geometry c,2022,Electric Data - Charging DC Mode - 9629,2024-06-15 06:50:11,1718434210792
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 06:50:11,1718434210792
geely,EV,geometry c,2022,Electric Data - Charging Current - 232,2024-06-15 06:50:11,1718434210792
geely,EV,geometry c,2022,Electric Data - Time Remaining for Charge - 2291,2024-06-15 06:50:11,1718434210792
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 06:50:11,1718434210792
geely,EV,geometry c,2022,Electric Data - Battery Status Of Charge - 2334,2024-06-15 06:50:03,1718434203037
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 06:50:03,1718434203037
geely,EV,geometry c,2022,Electric Data - Vehicle Range Of Battery - 2229,2024-06-15 06:49:56,1718434196000
geely,EV,geometry c,2022,Electric Data - Charging AC Mode - 2227,2024-06-15 06:49:56,1718434196000
geely,EV,geometry c,2022,Electric Data - Time Remaining for Charge - 2291,2024-06-15 06:49:56,1718434196000
geely,EV,geometry c,2022,Electric Data - Charging DC Mode - 9629,2024-06-15 06:49:56,1718434196000
geely,EV,geometry c,2022,Electric Data - Charging Current - 232,2024-06-15 06:49:56,1718434196000
geely,EV,geometry c,2022,Electric Data - Charging Voltage - 7C,2024-06-15 06:49:56,1718434196000
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 06:49:56,1718434196000
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 06:49:21,1718434160846
geely,EV,geometry c,2022,Electric Data - Battery Status Of Charge - 2334,2024-06-15 06:49:21,1718434160846
geely,EV,geometry c,2022,Electric Data - Time Remaining for Charge - 2291,2024-06-15 06:48:55,1718434135260
geely,EV,geometry c,2022,Electric Data - Charging AC Mode - 2227,2024-06-15 06:48:55,1718434135260
geely,EV,geometry c,2022,Electric Data - Vehicle Range Of Battery - 2229,2024-06-15 06:48:55,1718434135260
geely,EV,geometry c,2022,Electric Data - Charging DC Mode - 9629,2024-06-15 06:48:55,1718434135260
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 06:48:55,1718434135260
geely,EV,geometry c,2022,Electric Data - Charging Current - 232,2024-06-15 06:48:55,1718434135260
geely,EV,geometry c,2022,Electric Data - Charging Voltage - 7C,2024-06-15 06:48:55,1718434135260
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 06:48:20,1718434100071
geely,EV,geometry c,2022,Electric Data - Battery Status Of Charge - 2334,2024-06-15 06:48:20,1718434100071
geely,EV,geometry c,2022,Electric Data - Charging Voltage - 7C,2024-06-15 06:47:56,1718434075577
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 06:47:56,1718434075577
geely,EV,geometry c,2022,Electric Data - Charging AC Mode - 2227,2024-06-15 06:47:56,1718434075577
geely,EV,geometry c,2022,Electric Data - Charging DC Mode - 9629,2024-06-15 06:47:56,1718434075577
geely,EV,geometry c,2022,Electric Data - Vehicle Range Of Battery - 2229,2024-06-15 06:47:56,1718434075577
geely,EV,geometry c,2022,Electric Data - Time Remaining for Charge - 2291,2024-06-15 06:47:56,1718434075577
geely,EV,geometry c,2022,Electric Data - Charging Current - 232,2024-06-15 06:47:56,1718434075577
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 06:47:21,1718434041000
geely,EV,geometry c,2022,Electric Data - Battery Status Of Charge - 2334,2024-06-15 06:47:21,1718434041000
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 06:47:04,1718434024302
geely,EV,geometry c,2022,Electric Data - Battery Status Of Charge - 2334,2024-06-15 06:47:04,1718434024302
geely,EV,geometry c,2022,Electric Data - Charging AC Mode - 2227,2024-06-15 06:46:56,1718434016000
geely,EV,geometry c,2022,Electric Data - Charging Current - 232,2024-06-15 06:46:56,1718434016000
geely,EV,geometry c,2022,Electric Data - Vehicle Range Of Battery - 2229,2024-06-15 06:46:56,1718434016000
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 06:46:56,1718434016000
geely,EV,geometry c,2022,Electric Data - Charging DC Mode - 9629,2024-06-15 06:46:56,1718434016000
geely,EV,geometry c,2022,Electric Data - Time Remaining for Charge - 2291,2024-06-15 06:46:56,1718434016000
geely,EV,geometry c,2022,Electric Data - Charging Voltage - 7C,2024-06-15 06:46:56,1718434016000
geely,EV,geometry c,2022,Electric Data - Battery Status Of Charge - 2334,2024-06-15 06:46:04,1718433964474
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 06:46:04,1718433964474
geely,EV,geometry c,2022,Electric Data - Charging Voltage - 7C,2024-06-15 06:45:56,1718433955618
geely,EV,geometry c,2022,Electric Data - Time Remaining for Charge - 2291,2024-06-15 06:45:56,1718433955618
geely,EV,geometry c,2022,Electric Data - Charging DC Mode - 9629,2024-06-15 06:45:56,1718433955618
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 06:45:56,1718433955618
geely,EV,geometry c,2022,Electric Data - Vehicle Range Of Battery - 2229,2024-06-15 06:45:56,1718433955618
geely,EV,geometry c,2022,Electric Data - Charging Current - 232,2024-06-15 06:45:56,1718433955618
geely,EV,geometry c,2022,Electric Data - Charging AC Mode - 2227,2024-06-15 06:45:56,1718433955618
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 06:45:05,1718433904850
geely,EV,geometry c,2022,Electric Data - Battery Status Of Charge - 2334,2024-06-15 06:45:05,1718433904850
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 06:44:16,1718433855824
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 05:41:45,1718430105442
geely,EV,geometry c,2022,Electric Data - Battery Status Of Charge - 2334,2024-06-15 05:41:45,1718430105442
geely,EV,geometry c,2022,Electric Data - Charging Voltage - 7C,2024-06-15 05:41:45,1718430105000
geely,EV,geometry c,2022,Electric Data - Charging AC Mode - 2227,2024-06-15 05:41:45,1718430105000
geely,EV,geometry c,2022,Electric Data - Charging Current - 232,2024-06-15 05:41:45,1718430105000
geely,EV,geometry c,2022,Electric Data - Vehicle Range Of Battery - 2229,2024-06-15 05:41:45,1718430105000
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 05:41:45,1718430105000
geely,EV,geometry c,2022,Electric Data - Time Remaining for Charge - 2291,2024-06-15 05:41:45,1718430105000
geely,EV,geometry c,2022,Electric Data - Charging DC Mode - 9629,2024-06-15 05:41:45,1718430105000
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-15 05:40:46,1718430046000
geely,EV,geometry c,2022,Electric Data - Charging DC Mode - 9629,2024-06-01 22:34:59,1717281298642
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-01 22:34:59,1717281298642
geely,EV,geometry c,2022,Electric Data - Ready Switch Open - 2015,2024-06-01 22:34:59,1717281298642
geely,EV,geometry c,2022,Electric Data - Charging Voltage - 7C,2024-06-01 22:34:59,1717281298642
geely,EV,geometry c,2022,Electric Data - Battery Status Of Charge - 2334,2024-06-01 22:34:59,1717281298642
geely,EV,geometry c,2022,Electric Data - Charging AC Mode - 2227,2024-06-01 22:34:59,1717281298642
