manufacturer,model,version,capacity,range

mercedes-benz,EQA,EQA,,404
mercedes-benz,EQB,EQB,,404
mercedes-benz,EQC,EQC,,404
mercedes-benz,EQS,EQS,,610
mercedes-benz,Vito,Vito,,160
mercedes-benz,Sprinter,Sprinter,,160

renault,zoe,R90,41.0,
renault,zoe,R110,52.0,
renault,zoe,R135,52.0,
volvo,XC40 Recharge,P8 AWD R-Design,75,418
volvo,XC40 Recharge,Twin Pure Electric Pro,79,535
volvo,XC40 Recharge,Pure Electric Plus,75, 414
volvo,XC40 Recharge,P8 AWD,75,418
volvo,C40 Recharge,Pure Electric 170 KW Plus,75,418

Tesla,model s,long range,95,530
Tesla,model s,long range plus,98,555
Tesla,model s,performance,95,515
Tesla,Model S,2012,60.0,426.476
Tesla,model s,standard range,72.5,420
Tesla,Model 3,Rear-Wheel Drive,57.5,702
Tesla,model 3,long range all-wheel drive,75,545
Tesla,model x,long range,95,440
Tesla,model x,long range plus,98,480
Tesla,model y,long range rear-wheel drive,75,450

