field_name,field_type
state.Vehicle.Drivetrain.Odometer,int
state.Vehicle.Electronics.Battery.Charging.WarningLevel,int
state.Vehicle.Electronics.Battery.Level,int
state.Vehicle.Electronics.Battery.PowerStateAlert.ClassC,bool
state.Vehicle.Green.BatteryManagement.BatteryCapacity.Value,double
state.Vehicle.Green.BatteryManagement.BatteryConditioning,bool
state.Vehicle.Green.BatteryManagement.BatteryPreCondition.Status,bool
state.Vehicle.Green.BatteryManagement.BatteryPreCondition.TemperatureLevel,int
state.Vehicle.Green.BatteryManagement.BatteryRemain.Ratio,double
state.Vehicle.Green.BatteryManagement.BatteryRemain.Value,double
state.Vehicle.Green.BatteryManagement.SoH.Ratio,double
state.Vehicle.Green.ChargingInformation.Charging.RemainTime,int
state.Vehicle.Green.ChargingInformation.ConnectorFastening.State,bool
state.Vehicle.Green.ChargingInformation.ElectricCurrentLevel.State,string
state.Vehicle.Green.DrivingHistory.Average,double
state.Vehicle.Green.DrivingHistory.Unit,string
state.Vehicle.Green.DrivingReady,bool
state.Vehicle.Green.Electric.SmartGrid.RealTimePower,double
state.Vehicle.Green.Electric.SmartGrid.VehicleToGrid.Mode,string
state.Vehicle.Green.Electric.SmartGrid.VehicleToLoad.DischargeLimitation.SoC,int
state.Vehicle.Green.PowerConsumption.Prediction.Climate,int
state.Vehicle.Green.Reservation.Departure.Climate.Temperature,string
state.Vehicle.Green.Reservation.Departure.Climate.TemperatureHex,string
state.Vehicle.Green.Reservation.Departure.Climate.TemperatureUnit,string
state.Vehicle.Version,string
header.vin,string
header.topic,string
