field_name,field_type
diagnostics.odometer.data.value,int
diagnostics.battery_voltage.data.value,double
diagnostics.engine_coolant_temperature.data.value,double
charging.battery_level.data,double
charging.battery_level_at_departure.data,double
charging.charging_rate.data.value,double
charging.estimated_range.data.value,int
charging.max_range,datetime
charging.plugged_in,datetime
charging.smart_charging_status.timestamp,datetime
charging.smart_charging_status.data,string
charging.starter_battery_state,
charging.status.data,string
charging.time_to_complete_charge,datetime
usage.electric_consumption_rate_since_reset.data.value,double
usage.electric_consumption_rate_since_start.data.value,double
usage.electric_distance_last_trip.data.value,int
usage.electric_distance_since_reset.data.value,int
charging_session.start_time.data,datetime
charging_session.displayed_start_state_of_charge.data,double
charging_session.end_time.data,datetime
charging_session.displayed_state_of_charge.data,double
charging_session.energy_charged.data.value,double
charging_session.total_charging_duration.data.value,double
