field_name,field_type
odometer.value,int
maintenance.odometer.value,int
maintenance.date.value,datetime
electricity.level.percentage,double
electricity.capacity.value,int
electricity.charging.mode,string
electricity.charging.planned,datetime
electricity.charging.rate.value,double
electricity.charging.remainingTime.value,int
electricity.charging.plugged,bool
electricity.charging.status,string
electricity.energyBatteryRemaining,double
electricity.engine.status,string
electricity.engine.speed.value,int
electricity.residualAutonomy.value,int
engine.battery.capacity.percentage,double
engine.battery.level.value,int
engine.battery.charging,bool
engine.battery.voltage.value,double
engine.battery.resistance.percentage,int
engine.status,string
engine.runtime,int
engine.coolant.temperature.value,int
externaltemperature.value,double
speed.value,double
ecodriving.odometer.value,double
charging.battery.stateOfHealth.percentage,double
