VIN,Licence plate, ,Model,Type,Capacity,Autonomie,End of Contract,Country,Category,Activated,Ownership ,Fleet,Start Date
W0VF86E09K4112523,XZ752T,Opel,Ampera-e,150kW Business+ 5d,50,,29-04-2023,NL,EV,never activated,SOLD,1,4/29/2019
WBY8P210807D37274,XN145N,BMW,i3,i3 (120Ah) 5d,,,18-02-2023,NL,EV,deactivated,SOLD,1,2/18/2019
W1K2938901F005682,H770RH,Mercedes-Benz,EQC,EQC 400 4MATIC 5d,,404,20-10-2024,NL,EV,activated,Ayvens,1,4/20/2020
W0VF86E00J4137616,TL219G,Opel,Ampera-e,150kW Business+ 5d,50,,30-08-2023,NL,EV,never activated,SOLD,1,8/30/2018
W1K2938901F016713,K-121-FK,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution AMG,,401,12/8/2024,NL,EV,activated,Ayvens,1,12/9/2020
W0VF86E04J4122990,TG623S,Opel,Ampera-e,150kW Business+ 5d,50,,30-08-2023,NL,EV,never activated,SOLD,1,7/30/2018
WBY1Z610407A12415,PV553T,BMW,i3,Automaat (94Ah) 5d,,,06-10-2023,NL,EV,deactivated,Ayvens,1,10/6/2017
WBY8P210407F12586,G023ZG,BMW,i3,i3 (120Ah) 5d,,,03-01-2024,NL,EV,deactivated,SOLD,1,12/31/2019
WBY8P210207D36668,XN100K,BMW,i3,i3 (120Ah) 5d,,,22-02-2024,NL,EV,deactivated,Ayvens,1,2/22/2019
WBY8P210007D85478,ZB151X,BMW,i3,i3 (120Ah) 5d,,,29-04-2024,NL,EV,deactivated,SOLD,1,4/29/2019
WBY8P210607E16295,ZJ910S,BMW,i3,i3 (120Ah) 5d,,,14-06-2024,NL,EV,deactivated,SOLD,1,6/14/2019
WBY8P210607G05514,H-808-ZK,BMW,i3,i3 Corporate Executive (120Ah),,,6/26/2024,NL,EV,deactivated,SOLD,1,6/27/2020
WBY8P210807E40257,ZP548T,BMW,i3,i3 (120Ah) 5d,,,10-07-2024,NL,EV,deactivated,SOLD,1,7/10/2019
WBY8P210307E39145,ZP397P,BMW,i3,i3 (120Ah) 5d,,,12-07-2024,NL,EV,deactivated,SOLD,1,7/12/2019
WBY8P210907F36236,H562BK,BMW,i3,i3 (120Ah) 5d,,,25-07-2024,NL,EV,deactivated,SOLD,1,12/31/2019
WBY8P210107E37328,ZN233V,BMW,i3,i3 (120Ah) 5d,,,03-08-2024,NL,EV,deactivated,SOLD,1,8/2/2019
WBY8P210007D68096,XV921N,BMW,i3,i3 (120Ah) 5d,,,05-08-2024,NL,EV,deactivated,SOLD,1,4/5/2019
WBY8P610X07D31659,XL715R,BMW,i3,i3s (120Ah) 5d,,,08-08-2024,NL,EV,deactivated,SOLD,1,2/8/2019
WBY8P210607E60894,G-518-BB,BMW,i3,i3 170pk (120 Ah) Aut i3 Executive Edition,,,8/26/2024,NL,EV,deactivated,Ayvens,1,8/27/2019
VF77JZKYZHJ783827,PT360B,Citroën,Berlingo,E-Berlingo Shine 5d,,,18-10-2023,NL,EV,never activated,Ayvens,1,9/22/2017
WBY8P210907E68326,G795BV,BMW,i3,i3 (120Ah) 5d,,,30-08-2024,NL,EV,deactivated,Ayvens,1,8/30/2019
W0VF86E05K4100353,TZ013B,Opel,Ampera-e,150kW Business+ 5d,50,,15-11-2023,NL,EV,never activated,SOLD,1,11/15/2018
WBY8P210507E13100,G854DB,BMW,i3,i3 (120Ah) Executive Edition 5d,,,02-09-2024,NL,EV,deactivated,Ayvens,1,9/2/2019
W0VF86E05K4100353,TZ013B,Opel,Ampera-e,150kW Business+ 5d,50,,15-11-2023,NL,EV,never activated,SOLD,1,11/15/2018
WBY8P210607E77100,G-796-BV,BMW,i3,i3 170pk (120 Ah) Aut i3,,,9/4/2024,NL,EV,deactivated,SOLD,1,9/5/2019
WBY8P210X07E68318,G812DV,BMW,i3,i3 (120Ah) 5d,,,11-09-2024,NL,EV,deactivated,Ayvens,1,9/11/2019
WBY8P210707E59222,G-154-FD,BMW,i3,i3 170pk (120 Ah) Aut i3 Executive Edition,,,9/16/2024,NL,EV,deactivated,SOLD,1,9/17/2019
W1K2938901F016840,K-783-BD,Mercedes-Benz,EQC,EQC 400 4MATIC Business Solution Luxury,,406,11/20/2024,NL,EV,activated,Ayvens,1,11/21/2020
WBY8P610807E84315,G-195-GF,BMW,i3,i3s (120Ah),,,9/18/2024,NL,EV,deactivated,Ayvens,1,9/19/2019
VXEV1ZKXZMZ025966,VKX36V,Opel,Vivaro-e,75 kWh L2H1 Edition 4d,,,01-12-2023,NL,EV,activated,Ayvens,1,6/30/2021
VR3UKZKXZLJ926084,K578HK,Peugeot,e-2008,GT EV 50kWh 136 5d ActieAuto,50,,30-12-2023,NL,OLD,activated,Ayvens,1,12/30/2020
WBY8P210607E87948,G-152-FL,BMW,i3,i3 (120Ah),,,9/19/2024,NL,EV,deactivated,Ayvens,1,9/20/2019
W0VF86E04K4115555,XL371X,Opel,Ampera-e,150kW Business+ 5d,50,,06-02-2024,NL,EV,never activated,Ayvens,1,2/5/2019
W0VF86E0XK4106200,XL370X,Opel,Ampera-e,150kW Business+ 5d,50,,06-02-2024,NL,EV,never activated,SOLD,1,2/5/2019
WBY8P210907E83408,G356GJ,BMW,i3,i3 (120Ah) 5d,,,20-09-2024,NL,EV,activated,Ayvens,1,9/20/2019
WBY8P210507E90842,G360GJ,BMW,i3,i3 (120Ah) Executive Edition 5d,,,21-09-2024,NL,EV,deactivated,SOLD,1,9/20/2019
WBY8P210707E81513,G359GJ,BMW,i3,i3 (120Ah) 5d,,,23-09-2024,NL,EV,deactivated,Ayvens,1,9/23/2019
WBY71AW000FM68170,x,BMW,i4,x,,,30.09.2024 00:00:00,Germany,EV,deactivated,Ayvens,1,#N/A
WBY8P610107E85998,G-547-HB,BMW,i3,i3S 120Ah 42kWh Aut,42,,10/2/2024,NL,EV,deactivated,Ayvens,1,10/3/2019
WBY8P610307E86019,G-548-HB,BMW,i3,i3S 120Ah 42kWh Aut,42,,10/2/2024,NL,EV,deactivated,Ayvens,1,10/3/2019
WBY8P210107E83404,G546HB,BMW,i3,i3 (120Ah) Executive Edition 5d,,,04-10-2024,NL,EV,deactivated,Ayvens,1,10/4/2019
WBY8P210907G80403,J-705-SK,BMW,i3,i3 Corporate Executive (120Ah),,,10/8/2024,NL,EV,deactivated,Ayvens,1,10/9/2020
W0VF86E01K4118364,XR525L,Opel,Ampera-e,150kW Business+ 5d,50,,01-03-2024,NL,EV,never activated,SOLD,1,2/28/2019
WBY8P210107F07264,G168KL,BMW,i3,i3 (120Ah) Executive Edition 5d,,,19-10-2024,NL,EV,deactivated,SOLD,1,10/19/2019
WBY7Z210907B34898,TR-083-F,BMW,i3,i3 94Ah 33kWh Aut,33,,10/30/2024,NL,EV,deactivated,Ayvens,1,10/31/2018
W0VF86E07K4119163,XZ926G,Opel,Ampera-e,150kW Business Executive 5d,50,,12-04-2024,NL,EV,never activated,SOLD,1,4/12/2019
WBY8P210107K48420,R-395-NX,BMW,i3,i3 (120Ah),,,10/31/2024,NL,EV,deactivated,Ayvens,1,11/1/2022
WBY8P210207E56518,G-067-LN,BMW,i3,i3 170pk (120 Ah) Aut i3,,,11/4/2024,NL,EV,deactivated,Ayvens,1,11/5/2019
WBY8P610307F11520,G061NN,BMW,i3,i3s (120Ah) 5d,,,05-11-2024,NL,EV,deactivated,Ayvens,1,11/5/2019
WBY8P210107E62729,G253PP,BMW,i3,i3 (120Ah) 5d,,,08-11-2024,NL,EV,deactivated,Ayvens,1,11/8/2019
W0VF86E05K4119162,XZ924G,Opel,Ampera-e,150kW Business+ 5d,50,,12-04-2024,NL,EV,never activated,SOLD,1,4/12/2019
VR1J45GBUMY502166,K742ZR,DS,DS 7 Crossback,E-TENSE 4x4 Perform. Line auto 5d,,,30-04-2024,NL,EV,activated,Ayvens,1,4/30/2021
W0VF86E06K4123253,ZD118G,Opel,Ampera-e,150kW Business Executive 5d,50,,01-05-2024,NL,EV,never activated,Ayvens,1,4/30/2019
W0VF86E09K4128155,ZF762L,Opel,Ampera-e,150kW Business+ 5d,50,,10-05-2024,NL,EV,never activated,Ayvens,1,5/9/2019
W0VF86E09K4126972,ZF800F,Opel,Ampera-e,150kW Business+ 5d,50,,13-05-2024,NL,EV,never activated,Ayvens,1,5/13/2019
W0VF86E03K4123257,ZD117G,Opel,Ampera-e,150kW Business+ 5d,50,,17-05-2024,NL,EV,never activated,Ayvens,1,5/17/2019
W0VF86E07K4113377,ZG314G,Opel,Ampera-e,150kW ActieAuto+ 5d Business+,,,24-05-2024,NL,EV,never activated,SOLD,1,5/24/2019
WBY8P210507F21376,G844PK,BMW,i3,i3 (120Ah) 5d,,,09-11-2024,NL,EV,deactivated,SOLD,1,11/8/2019
VR3UKZKXZLJ934632,K807GK,Peugeot,2008,GT EV 50kWh 136 5d,50,,16-06-2024,NL,EV,deactivated,SOLD,1,12/16/2020
VR3UHZKXZLT088238,J931NJ,PEUGEOT,208,GT EV 50kWh 136 5d,50,,19-06-2024,NL,EV,deactivated,SOLD,1,9/19/2020
VXKUHZKXZN4269149,P120XD,Opel,Corsa-e,50kWh GS Line 11kW 3 fase 5d APL,50,,24-06-2024,NL,EV,deactivated,SOLD,1,6/24/2022
VR1UJZKXZLW021491,J972PG,DS,DS 3 Crossback,E-TENSE 50 kWh Performance Line+ Auto 5d,50,,01-07-2024,NL,EV,activated,Ayvens,1,9/29/2020
VXKUHZKXZL4320106,J059LD,Opel,Corsa-e,100kW Edition 5d,,,01-07-2024,NL,EV,never activated,Ayvens,1,8/31/2020
VR3UHZKXZLT072875,J198JZ,PEUGEOT,208,GT EV 50kWh 136 5d,50,,01-07-2024,NL,EV,never activated,SOLD,1,8/24/2020
WBY8P210707D68113,G-643-RH,BMW,i3,i3 (120Ah),,,11/14/2024,NL,EV,deactivated,Ayvens,1,11/15/2019
VXKUHZKXZM4023375,K324PP,Opel,Corsa-e,50kWh Edition 11kW 3 fase 5d,50,,03-07-2024,NL,EV,activated,Ayvens,1,1/29/2021
WF0TK3SU4MMA37317,x,FORD,Mustang Mach-E,98kWh Extended Range RWD auto 5d,98,,21.12.2024 00:00:00,Germany,EV,activated,Ayvens,1,12/21/2024
WF0TK1E79MMA47996,x,FORD,Mustang Mach-E,98kWh Extended Range RWD auto 5d,98,,21.12.2024 00:00:00,Germany,EV,activated,Ayvens,1,12/21/2024
WF0TK1E74MMA60901,x,FORD,Mustang Mach-E,98kWh Extended Range RWD auto 5d,98,,21.12.2024 00:00:00,Germany,EV,activated,Ayvens,1,12/21/2024
WF0TK3SSXMMA51687,x,FORD,Mustang Mach-E,75kWh AWD auto,75,,21.12.2024 00:00:00,Germany,EV,activated,Ayvens,1,12/21/2024
WF0TK3SS9MMA50420,x,FORD,Mustang Mach-E,75kWh AWD auto,75,,21.12.2024 00:00:00,Germany,EV,activated,Ayvens,1,12/21/2024
WF0TK1E73MMA53339,x,FORD,Mustang Mach-E,98kWh Extended Range RWD auto 5d,98,,22.12.2024 00:00:00,Germany,EV,activated,Ayvens,1,12/22/2024
WF0TK3SU8MMA46439,x,FORD,Mustang Mach-E,98kWh Extended Range AWD auto,98,,24.12.2024 00:00:00,Germany,EV,activated,Ayvens,1,12/24/2024
WF0TK3SS8MMA46651,x,FORD,Mustang Mach-E,75kWh AWD auto,75,,26.12.2024 00:00:00,Germany,EV,activated,Ayvens,1,12/26/2024
WF0TK3SS6MMA46678,x,FORD,Mustang Mach-E,75kWh AWD auto,75,,27.12.2024 00:00:00,Germany,EV,activated,Ayvens,1,12/27/2024
WF0TK3SU6MMA05064,x,FORD,Mustang Mach-E,98kWh Extended Range AWD auto,98,,27.12.2024 00:00:00,Germany,EV,activated,Ayvens,1,12/27/2024
WF0TK3SU0MMA50971,x,FORD,Mustang Mach-E,98kWh Extended Range AWD auto,98,,28.12.2024 00:00:00,Germany,EV,activated,Ayvens,1,12/28/2024
WF0TK3SU2MMA49840,N-160-VL,FORD,Mustang Mach-E,98kWh Extended Range AWD auto,98,,9/29/2024,NL,EV,activated,SOLD,1,3/30/2022
WF0TK3SS8MMA44981,N-477-TJ,FORD,Mustang Mach-E,75kWh AWD auto,75,,9/30/2024,NL,EV,activated,SOLD,1,3/31/2022
WF0TK3SSXMMA44805,N-483-TJ,FORD,Mustang Mach-E,75kWh AWD auto,75,,9/30/2024,NL,EV,activated,SOLD,1,3/31/2022
WF0TK3SU2MMA40765,N-488-TJ,FORD,Mustang Mach-E,98kWh Extended Range AWD auto,98,,9/30/2024,NL,EV,activated,SOLD,1,3/31/2022
WF0TK3SU6MMA52756,N-163-VL,FORD,Mustang Mach-E,98kWh Extended Range AWD auto,98,,10/18/2024,NL,EV,activated,SOLD,1,4/19/2022
WF0TK1E73MMA04075,L-982-FD,FORD,Mustang Mach-E,98kWh Extended Range RWD auto,98,,10/29/2024,NL,EV,activated,Ayvens,1,4/30/2021
WF0TK3SU6MMA37237,N-191-NJ,FORD,Mustang Mach-E,98kWh Extended Range AWD auto,98,,11/28/2024,NL,EV,activated,Ayvens,1,11/29/2021
WF0TK1E7XMMA51913,N-640-TP,FORD,Mustang Mach-E,98kWh Extended Range RWD auto,98,,12/28/2024,NL,EV,activated,Ayvens,1,12/29/2021
WF0TK1EM2MMA16563,L619FN,FORD,Mustang Mach-E,75kWh RWD auto 5d,75,,07-11-2024,NL,EV,activated,Ayvens,1,5/7/2021
WF0TK1E74MMA25999,L823RJ,FORD,Mustang Mach-E,98kWh Extended Range RWD auto 5d,98,,15-10-2024,NL,EV,activated,Ayvens,1,7/14/2021
WF0TK1E79MMA16196,L842PD,FORD,Mustang Mach-E,98kWh Extended Range RWD auto 5d,98,,03-07-2024,NL,EV,activated,Ayvens,1,7/3/2021
WF0TK1EM2MMA16501,N653GX,FORD,Mustang Mach-E,75kWh RWD auto 5d,75,,15-10-2024,NL,EV,activated,Ayvens,1,10/15/2021
WF0TK1EM4MMA38533,N028KV,FORD,Mustang Mach-E,75kWh RWD 5d Tech.Pack Onze Deal,75,,11-11-2024,NL,EV,activated,Ayvens,1,11/11/2021
WF0TK3SS2MMA30462,N162SG,FORD,Mustang Mach-E,75kWh AWD auto 5d Tech Pack Plus Onze Deal,75,,22-12-2024,NL,EV,activated,Ayvens,1,12/22/2021
WF0TK1E77MMA56339,N746SV,FORD,Mustang Mach-E,98kWh Extended Range RWD 5d Tech.Pack Onze Deal,98,,28-04-2024,NL,EV,activated,Ayvens,1,12/29/2021
WF0TK1EM5MMA31333,N987TD,FORD,Mustang Mach-E,75kWh RWD 5d Onze Deal,75,,04-05-2024,NL,EV,activated,Ayvens,1,12/29/2021
WF0TK1E79MMA11256,R516XP,FORD,Mustang Mach-E,98kWh Extended Range RWD auto 5d,98,,16-12-2024,NL,EV,activated,Ayvens,1,12/15/2022
WF0TK1E79MMA62370,P784RS,FORD,Mustang Mach-E,98kWh Extended Range RWD 5d Tech.Pack Onze Deal,98,,07-07-2024,NL,EV,activated,Ayvens,1,5/31/2022
WF0TK1EM6MMA38274,N143HT,FORD,Mustang Mach-E,75kWh RWD auto 5d,75,,22-07-2024,NL,EV,activated,Ayvens,1,10/21/2021
WF0TK3SU5MMA16976,L831HT,FORD,Mustang Mach-E,98kWh Extended Range AWD auto 5d,98,,18-12-2024,NL,EV,activated,Ayvens,1,6/18/2021
WF0EXXTTRBNP16412,x,FORD,e-Transit,x,68,,18.10.2024 00:00:00,Germany,EV,activated,Ayvens,1,#N/A
WF0EXXTTRBNP16413,x,FORD,e-Transit,x,68,,18.10.2024 00:00:00,Germany,EV,activated,Ayvens,1,#N/A
WF0EXXTTRBNB19272,x,FORD,e-Transit,x,68,,30.11.2024 00:00:00,Germany,EV,activated,Ayvens,1,#N/A
WF0EXXTTRBNB19277,x,FORD,e-Transit,x,68,,30.11.2024 00:00:00,Germany,EV,activated,Ayvens,1,#N/A
KNACC81GFM5077052,L-641-PH,KIA,e-Niro,64kWh DynamicPlusLine,64,,7/15/2024,NL,EV,deactivated,SOLD,1,7/16/2021
KNACC81GFM5108253,L-614-RP,KIA,e-Niro,64kWh ExecutiveLine,64,,7/16/2024,NL,EV,activated,Ayvens,1,7/17/2021
KNACC81GFN5149552,P-144-ZN,KIA,e-Niro,64kWh DynamicLine,64,,7/24/2024,NL,EV,activated,Ayvens,1,7/25/2022
KNACC81GFN5150279,P-146-ZN,KIA,e-Niro,64kWh DynamicLine,64,,7/24/2024,NL,EV,activated,Ayvens,1,7/25/2022
KNACC81GFN5150341,P-149-ZN,KIA,e-Niro,64kWh DynamicLine,64,,7/24/2024,NL,EV,activated,Ayvens,1,7/25/2022
KNACC81GFN5150266,P-145-ZN,KIA,e-Niro,64kWh DynamicLine,64,,7/24/2024,NL,EV,deactivated,Ayvens,1,7/25/2022
KNACC81GFN5150282,P-147-ZN,KIA,e-Niro,64kWh DynamicLine,64,,7/24/2024,NL,EV,activated,Ayvens,1,7/25/2022
KNACC81GFN5150283,P-148-ZN,KIA,e-Niro,64kWh DynamicLine,64,,7/24/2024,NL,EV,deactivated,SOLD,1,7/25/2022
KNACC81GFM5091227,L-511-TF,KIA,e-Niro,64kWh ExecutiveLine,64,,7/28/2024,NL,EV,deactivated,SOLD,1,7/29/2021
KNACC81GFM5084309,L-770-SV,KIA,e-Niro,64kWh ExecutiveLine,64,,7/28/2024,NL,EV,activated,Ayvens,1,7/29/2021
