VIN,Row Number,Ctr eind jaar,Ctr eind maand,Label,Contract status,Type,Contract Nr,Kenteken,Soort voertuig,Merk,Model,Type,Brandstof soort,Contract start datum,Contract eind datum
5YJ3E7EBXKF239447,"3,801",2024,5,ALD NL,Running,CLS,1220838,XT-218-X,Passenger Car,TESLA,Model 3,Long-Range Dual Motor AWD,Electric,5/2/2019,5/1/2024
5YJ3E7EB7KF232522,"3,802",2024,5,ALD NL,Running,CLS,1223341,ZD-701-S,Passenger Car,TESLA,Model 3,Long-Range Dual Motor AWD,Electric,5/2/2019,5/1/2024
5YJ3E7EB5KF238884,"3,807",2024,5,ALD NL,Running,CLS,1224517,XT-648-V,Passenger Car,TESLA,Model 3,Long-Range Dual Motor AWD,Electric,5/2/2019,5/1/2024
KNACC81GFK5008661,"3,828",2024,5,ALD NL,Running,CLS,1263092,XX-976-Z,Passenger Car,KIA,Niro,Elektrisch 205pk Aut ExecutiveLine,Electric,5/3/2019,5/2/2024
KNACC81GFK5006440,"3,890",2024,5,BRL,Running,CLS,1280732,XX-959-Z,Passenger Car,KIA,Niro,Elektrisch 205pk Aut ExecutiveLine,Electric,2/5/2020,5/4/2024
5YJ3E7EB0LF568742,"3,919",2024,5,ALD NL,Running,CLS,1288927,G-633-XF,Passenger Car,TESLA,Model 3,Long Range Dual Motor AWD,Electric,5/6/2020,5/5/2024
KNACC81GFK5019374,"3,930",2024,5,KIA,Running,CLS,1250815,G-882-KF,Passenger Car,KIA,Niro,Elektrisch 205pk Aut ExecutiveLine,Electric,11/6/2019,5/5/2024
5YJ3E7EB5LF680498,"3,952",2024,5,ALD NL,Running,OPN/OPS,1298428,H-591-SL,Passenger Car,TESLA,Model 3,Long Range Dual Motor AWD,Electric,5/7/2020,5/6/2024
5YJ3E7EB8KF261950,"3,953",2024,5,ALD NL,Running,CLS,1223739,ZD-297-L,Passenger Car,TESLA,Model 3,Long-Range Dual Motor AWD,Electric,5/7/2019,5/6/2024
KNACC81GFK5008627,"3,962",2024,5,ALD NL,Running,CLS,1262487,ZB-662-G,Passenger Car,KIA,Niro,Elektrisch 205pk Aut ExecutiveLine,Electric,5/7/2019,5/6/2024
KMHK581GFKU023211,"3,976",2024,5,MHL,Running,CLS,1283438,XT-134-L,Passenger Car,Hyundai,KONA,EV 204pk 2WD Aut. Premium,Electric,2/7/2020,5/6/2024
